trial,severity,mse,active_ingredient,year,spray,location,state
93,4.3,7.72906,azox_cypr,2009,3,CHAPADÃO DO SUL,MS
103,4.3,27.17641,pyra_epox,2009,3,UBERABA,MG
186,4.3,31.15238,azox_cypr,2011,2,CAMAQUÃ,RS
224,4.3,40.83477,azox_cypr,2013,2,JATAÍ,GO
182,4.4,0.48713,pyra_epox,2011,2,GUARAPUAVA,PR
148,4.4,4.23162,pyra_epox,2010,2,DOURADOS,MS
88,4.5,69.9894,azox_cypr,2008,NA,LUIZ EDUARDO MAGALHÃES,BA
67,4.5,20.42879,azox_cypr,2007,2,UBERABA,MG
123,4.5,1.45592,pyra_metc,2009,2,JACIARA,MT
185,4.5,32.22233,pyra_metc,2011,2,MAFRA,SC
186,4.5,31.15238,pico_cypr,2011,2,CAMAQUÃ,RS
204,4.5,10.64722,pico_cypr,2012,3,SENADOR CANEDO,GO
249,4.5,1.22953,pico_cypr,2014,2,BRASÍLIA,DF
166,4.5,0.18811,cypr,2010,2,ITAARA,RS
148,4.6,4.23162,pyra_metc,2010,2,DOURADOS,MS
100,4.6,20.54338,pico_cypr,2009,3,LONDRINA,PR
111,4.6,27.74609,azox_cypr,2009,2,JATAÍ,GO
168,4.6,16.11492,azox_cypr,2010,2,LONDRINA,PR
75,4.7,26.4184,azox_cypr,2007,2,LUIZ EDUARDO MAGALHÃES,BA
158,4.7,7.43021,pyra_metc,2010,NA,SENADOR CANEDO,GO
92,4.8,76.64312,pyra_epox,2009,2,CHAPADÃO DO SUL,MS
93,4.8,7.72906,pyra_epox,2009,3,CHAPADÃO DO SUL,MS
148,4.8,4.23162,azox_cypr,2010,2,DOURADOS,MS
202,4.8,9.90909,azox,2012,2,MAFRA,SC
204,4.8,10.64722,azox_cypr,2012,3,SENADOR CANEDO,GO
205,4.8,0.62674,trif_prot,2012,2,ITAARA,RS
11,4.8,1.91512,tebu,2005,2,CHAPADÃO DO SUL,MS
185,4.9,32.22233,pyra_epox,2011,2,MAFRA,SC
246,4.9,27.60144,trif_prot,2014,2,LONDRINA,PR
115,4.9,1.40317,trif_prot,2009,3,TANGARÁ DA SERRA,MT
149,5,283.93882,cypr,2010,2,LUIZ EDUARDO MAGALHÃES,BA
4,5,0.0282,check,2005,2,MARACAJÚ,MS
117,5,3.09707,tebu,2009,2,CHAPADÃO DO SUL,MS
129,5,5.01111,trif_prot,2009,2,CAMPO VERDE,MT
205,5,0.62674,pico_cypr,2012,2,ITAARA,RS
205,5,0.62674,pyra_epox,2012,2,ITAARA,RS
124,5.1,14.34246,trif_prot,2009,NA,BRASNORTE,MT
144,5.2,43.60284,pyra_metc,2010,2,MAFRA,SC
101,5.2,6.63221,pico_cypr,2009,2,RIO VERDE,GO
205,5.3,0.62674,azox_cypr,2012,2,ITAARA,RS
149,5.3,283.93882,tebu,2010,2,LUIZ EDUARDO MAGALHÃES,BA
11,5.4,1.91512,azox_cypr,2005,2,CHAPADÃO DO SUL,MS
166,5.4,0.18811,tebu,2010,2,ITAARA,RS
185,5.4,32.22233,pico_cypr,2011,2,MAFRA,SC
39,5.4,20.14764,tebu,2007,2,TAMARANA,PR
144,5.5,43.60284,azox_cypr,2010,2,MAFRA,SC
111,5.5,27.74609,pico_cypr,2009,2,JATAÍ,GO
65,5.5,1.31913,tebu,2007,2,GUARAPUAVA,PR
210,5.5,2.3139,check,2013,2,SÃO GABRIEL DO OESTE,MS
251,5.5,0.45,trif_prot,2014,2,PALMEIRA,PR
251,5.5,0.45,pyra_metc,2014,2,PALMEIRA,PR
251,5.5,0.45,azox_cypr,2014,2,PALMEIRA,PR
168,5.6,16.11492,pyra_epox,2010,2,LONDRINA,PR
111,5.7,27.74609,pyra_epox,2009,2,JATAÍ,GO
149,5.7,283.93882,pyra_metc,2010,2,LUIZ EDUARDO MAGALHÃES,BA
218,5.7,0.76971,tebu,2013,2,DOURADOS,MS
181,5.7,43.46405,pyra_metc,2011,2,CASCAVEL,PR
24,5.7,14.60036,tebu,2006,2,CASCAVEL,PR
83,5.8,6.93658,azox_cypr,2008,NA,DOURADOS,MS
194,5.8,33.8684,pico_cypr,2012,2,JATAÍ,GO
218,5.8,0.7697,check,2013,2,DOURADOS,MS
251,5.8,0.45,pyra_epox,2014,2,PALMEIRA,PR
101,5.8,6.63221,pyra_epox,2009,2,RIO VERDE,GO
154,5.8,9.61924,azox_cypr,2010,2,SENADOR CANEDO,GO
101,5.9,6.63221,azox_cypr,2009,2,RIO VERDE,GO
83,5.9,6.93658,pico_cypr,2008,NA,DOURADOS,MS
224,5.9,40.83477,trif_prot,2013,2,JATAÍ,GO
10,6,8.57645,tebu,2005,2,RIACHÃO,MA
93,6,7.72906,pico_cypr,2009,3,CHAPADÃO DO SUL,MS
104,6,12.08496,azox_cypr,2009,2,CAMPO VERDE,MT
120,6,4.79048,trif_prot,2009,2,LUCAS DO RIO VERDE,MT
120,6,4.79048,azox_cypr,2009,2,LUCAS DO RIO VERDE,MT
129,6,5.01111,azox_cypr,2009,2,CAMPO VERDE,MT
130,6,0.0983,check,2009,2,RONDONÓPOLIS,MT
158,6,7.43021,pyra_epox,2010,NA,SENADOR CANEDO,GO
194,6,33.8684,azox,2012,2,JATAÍ,GO
107,6.2,16.49676,azox_cypr,2009,2,PLANALTINA,DF
132,6.2,28.07652,azox_cypr,2009,2,PLANALTINA,DF
161,6.2,10.64645,pyra_metc,2010,2,LONDRINA,PR
137,6.2,16.9716,azox_cypr,2009,2,JATAÍ,GO
13,6.3,28.05183,azox_cypr,2005,2,PAULÍNIA,SP
91,6.3,2.56702,tebu,2009,2,PONTA PORÃ,MS
139,6.3,16.4881,trif_prot,2009,2,PAULÍNIA,SP
186,6.3,31.15238,trif_prot,2011,2,CAMAQUÃ,RS
243,6.3,5.36272,trif_prot,2014,3,SENADOR CANEDO,GO
244,6.3,28.18987,azox_cypr,2014,3,CASCAVEL,PR
251,6.3,0.45,pico_cypr,2014,2,PALMEIRA,PR
58,6.3,6.75534,tebu,2007,2,TAMARANA,PR
219,6.3,10.11219,pyra_epox,2013,3,LONDRINA,PR
228,6.3,1.78622,trif_prot,2013,3,PLANALTINA,DF
155,6.4,20.42122,pyra_epox,2010,2,LONDRINA,PR
